"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Date",1,749,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Cases",2,749,452754.299065421,347624.784865615,439543,416511.296173045,423237.822,1,1231846,1231845,0.662652812390692,-0.363704551861025,12701.9331945834,157109,730099
"Deaths",3,749,9058.2523364486,4803.16530428132,9974,9149.96838602329,6471.549,0,17076,17076,-0.115743938633872,-1.10205939592771,175.503840559318,5202,13558
"DailyCases",4,749,1644.65420560748,3724.7446270427,589,910.792013311148,873.2514,-879,60797,61676,7.97806011194675,97.984095552422,136.099206614021,169,1517
"Cases_ma",5,743,1657.61622764853,2364.61167553817,703,1110.31716686675,533.9478,14.7142857142857,15428,15413.2857142857,3.2721918293517,11.9982381710635,86.749188879902,439.642857142857,1984.71428571429
"DailyDeaths",6,749,22.7983978638184,24.6844946374155,16,19.0532445923461,23.7216,0,223,223,2.03778363424638,7.91140110933928,0.901951804005323,4,34
"Deaths_ma",7,743,22.9546241107479,15.7405187964949,18.7142857142857,21.2600240096038,16.7322,0.285714285714286,66,65.7142857142857,0.793035370316456,-0.288378068992748,0.577463628497904,10.4285714285714,34
