"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Date",1,857,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Cases",2,857,554733.939323221,421807.937719554,463517,532353.445414847,450194.4552,1,1339245,1339244,0.479221918696275,-1.03239926041675,14408.6846754347,173406,775935
"Deaths",3,857,10096.6452742124,5258.076210882,10451,10286.4294032023,6723.591,0,17462,17462,-0.191422378399772,-1.16847371769681,179.612461850765,5635,14877
"DailyCases",4,857,1562.71295215869,3517.7266390706,570,885.222707423581,845.082,-879,60797,61676,8.34653034175449,108.722970307782,120.163252950551,102,1547
"Cases_ma",5,851,1562.77253651167,2239.12877907992,707.428571428571,1059.45122718691,571.0128,14.7142857142857,15428,15413.2857142857,3.47639189111988,13.8751286713264,76.7563459928942,434.071428571429,1911.28571428571
"DailyDeaths",6,857,20.3757292882147,23.9790361899624,13,16.3682678311499,19.2738,0,223,223,2.17480689895902,8.58911513124403,0.819108272712783,1,31
"Deaths_ma",7,851,20.491354708746,16.0804726249223,15,18.5731067757499,14.6142,0.285714285714286,66,65.7142857142857,0.88219851202717,-0.142577012398827,0.551231502207291,7,31.7857142857143
