"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Date",1,701,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Cases",2,701,399919.430813124,292409.665439231,424644,382549.720142603,393468.6966,1,1199682,1199681,0.478233890769973,-0.546744737107474,11044.1606392607,148894,628146
"Deaths",3,701,8537.25534950071,4517.08587465295,9477,8649.10338680927,5842.9266,0,15953,15953,-0.130525450657612,-1.10432062372809,170.6079788644,4950,11584
"DailyCases",4,701,1711.38659058488,3834.10025955689,615,946.786096256684,911.799,-879,60797,61676,7.76619977417033,92.5618922579849,144.811968202117,210,1562
"Cases_ma",5,695,1709.47358684481,2423.08370288409,707.857142857143,1141.5237240318,515.9448,14.7142857142857,15428,15413.2857142857,3.19259218177521,11.2588423583298,91.9128037767551,449.357142857143,2010.78571428571
"DailyDeaths",6,701,22.7574893009986,24.877837905056,16,18.8930481283422,22.239,0,223,223,2.10395289977733,8.22293173114788,0.939622969604021,5,34
"Deaths_ma",7,695,22.822816032888,16.0711004695866,18.2857142857143,21.0477045396255,16.3086,0.285714285714286,66,65.7142857142857,0.809213929292781,-0.324188559572853,0.609611587985779,9.71428571428571,34
