"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_base",20,"Test",-0.0942599897729019,1.84356639726401,1.51309810796997,-0.0689786123217744,1.39685036863991,NA,NA,0.888873221814756,0.1
"2","arima_sdif",20,"Test",-1.37554403090673,2.00531317327192,1.60299182555837,-1.19659988822974,1.40942788881378,NA,NA,0.721048010711848,0.1
"3","tslm_vars",20,"Test",-2.08918458944093,2.81064533881844,2.24192754160445,-1.81791503675748,1.95243787816281,NA,NA,0.678858252938232,0.1
"4","arima_full",20,"Test",-1.40969655537218,2.97464660808529,2.74569382328853,-1.21490512884216,2.42969163763778,NA,NA,0.829371281336746,0.1
"5","tslm_inter",20,"Test",-5.04103361575183,5.5499740588323,5.30482050130502,-4.49504446417324,4.74256377465842,NA,NA,0.50057676432959,0.1
"6","nn_base",20,"Test",-4.81384489399963,6.86846057220503,5.38508297323882,-4.6141682058332,5.08113166886713,NA,NA,0.157724954302087,0.1
"7","nn_vars",20,"Test",-2.72745907702939,6.9824498870295,5.04319310842935,-2.72245171091397,4.65760232515612,NA,NA,0.451575987841488,0.1
"8","arima_plain",20,"Test",6.29481985643477,7.57636722753653,6.29481985643477,5.69618641827488,5.69618641827488,NA,NA,0.88240320800971,0.1
"9","snaive",20,"Test",-6.16346153846164,7.63904839651777,6.67129629629638,-5.55756163950913,6.03876861342021,NA,NA,0.881611861141631,0.1
"10","naive",20,"Test",17.5303062678062,19.3714922179701,17.6649216524216,15.2590505168815,15.4052888471933,NA,NA,0.395182969782282,0.1
"11","drift",20,"Test",19.1353491862612,20.883969847018,19.2614722803027,16.701471867557,16.8384846669416,NA,NA,0.399175051300926,0.1
