"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",0.23304209348066,1.62682320744113,1.1373731775666,0.243223200799199,1.01046952557915,NA,NA,0.914691305621279,0.25
"2","tslm_base",20,"Test",-0.207017639851404,3.32295508885605,2.96237094667528,-0.131549635443077,2.55041480938446,NA,NA,0.926928136906356,0.25
"3","tslm_vars",20,"Test",-3.65803550080874,4.29431588172437,3.68875002031257,-3.19102649282537,3.21738899645607,NA,NA,0.443242616249557,0.25
"4","tslm_inter",20,"Test",-4.94022761305007,6.76115789302404,5.72318515953858,-4.416390292328,5.06080896611974,NA,NA,0.645109846898298,0.25
"5","snaive",20,"Test",-8.96969696969708,10.0080647616981,9.06468531468542,-7.75454804827218,7.83166909290593,NA,NA,0.939871152333366,0.25
"6","arima_plain",20,"Test",-13.0606060606061,13.7098339327343,13.0606060606061,-11.3448153735597,11.3448153735597,NA,NA,0.929600070608064,0.25
"7","naive",20,"Test",-7.39603729603767,13.7824319223608,11.1217365967367,-7.47314703711882,10.2631464339111,NA,NA,0.620196901536928,0.25
"8","drift",20,"Test",-7.83886293045478,14.0589983504611,11.3486571954679,-7.86269485520082,10.4852350858057,NA,NA,0.621869622232122,0.25
"9","nn_base",20,"Test",-12.3686993620543,15.1830336728897,12.812305745674,-11.4695593723368,11.7944500545045,NA,NA,0.50406180498289,0.25
"10","nn_vars",20,"Test",-14.057564696217,17.6230979494934,14.783244605886,-13.0806570137038,13.6026081175145,NA,NA,0.644692981753529,0.25
"11","arima_full",20,"Test",-30.2876616472861,38.8833777490305,36.9997374002066,-27.3003763346819,32.3614139294563,NA,NA,0.862702211241665,0.25
