"","p",".model","lb_stat","lb_pvalue"
"1","0.05","naive",12.7451530746812,0.000356932928486597
"2","0.05","snaive",196.587888145849,0
"3","0.05","drift",12.7451530746812,0.000356932928486597
"4","0.05","tslm_base",246.376445355389,0
"5","0.05","tslm_inter",227.333185039191,0
"6","0.05","tslm_vars",227.019292161344,0
"7","0.05","arima_plain",0.607026598060315,0.435909550023574
"8","0.05","arima_full",171.370989279051,0
"9","0.05","arima_sdif",171.380222683309,0
"10","0.05","nn_base",12.2050290972304,0.00047660858922316
"11","0.05","nn_vars",6.23988387049375,0.012490466575988
"12","0.1","naive",11.6681949990235,0.000635776636957575
"13","0.1","snaive",183.220029087435,0
"14","0.1","drift",11.6681949990235,0.000635776636957575
"15","0.1","tslm_base",233.46700072091,0
"16","0.1","tslm_inter",215.568713650076,0
"17","0.1","tslm_vars",215.459837702726,0
"18","0.1","arima_plain",0.549173076173842,0.45865577171447
"19","0.1","arima_full",160.547947768922,0
"20","0.1","arima_sdif",161.342482656238,0
"21","0.1","nn_base",11.5263777846708,0.000686155780874276
"22","0.1","nn_vars",7.15121818397978,0.00749130869772574
"23","0.15","naive",10.1622151470826,0.00143348281360289
"24","0.15","snaive",169.942369637003,0
"25","0.15","drift",10.1622151470825,0.00143348281360289
"26","0.15","tslm_base",220.391064445264,0
"27","0.15","tslm_inter",202.740722497519,0
"28","0.15","tslm_vars",202.446782134873,0
"29","0.15","arima_plain",0.000123716324286904,0.991125485347193
"30","0.15","arima_full",148.055912625929,0
"31","0.15","arima_sdif",149.888514609719,0
"32","0.15","nn_base",10.4684053726676,0.00121433492648337
"33","0.15","nn_vars",8.79668361529401,0.00301778618782911
"34","0.2","naive",10.0057392666234,0.00156053136260648
"35","0.2","snaive",157.317789561444,0
"36","0.2","drift",10.0057392666234,0.00156053136260648
"37","0.2","tslm_base",207.630168435912,0
"38","0.2","tslm_inter",191.029459254581,0
"39","0.2","tslm_vars",189.447805399327,0
"40","0.2","arima_plain",138.57265409491,0
"41","0.2","arima_full",139.084353421217,0
"42","0.2","arima_sdif",140.180285020989,0
"43","0.2","nn_base",9.95045753648705,0.00160809425710184
"44","0.2","nn_vars",8.72165569275733,0.00314452343527638
"45","0.25","naive",10.1375572166864,0.00145278558620021
"46","0.25","snaive",144.737036436491,0
"47","0.25","drift",10.1375572166864,0.00145278558620021
"48","0.25","tslm_base",194.468893041939,0
"49","0.25","tslm_inter",178.316243113378,0
"50","0.25","tslm_vars",177.851131555343,0
"51","0.25","arima_plain",123.81566174897,0
"52","0.25","arima_full",114.94743768813,0
"53","0.25","arima_sdif",0.183396640835879,0.6684703255597
"54","0.25","nn_base",6.85968587647125,0.00881620463935218
"55","0.25","nn_vars",7.4531707865291,0.00633247983652452
"56","0.3","naive",9.03081428909065,0.00265466202781017
"57","0.3","snaive",130.975102724098,0
"58","0.3","drift",9.03081428909065,0.00265466202781017
"59","0.3","tslm_base",180.544822986333,0
"60","0.3","tslm_inter",159.926827741549,0
"61","0.3","tslm_vars",163.828309226994,0
"62","0.3","arima_plain",0.429283149805294,0.512340905473161
"63","0.3","arima_full",100.360081008116,0
"64","0.3","arima_sdif",0.293741956451589,0.587832515065424
"65","0.3","nn_base",1.52003286661757,0.217614519615718
"66","0.3","nn_vars",0.423542027840966,0.51517491184015
