"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",-4.01247316223012,4.61984173922524,4.13442296740167,-3.43911361059552,3.55414127681322,NA,NA,0.934329047176206,0.3
"2","tslm_vars",20,"Test",1.20182601776027,5.37774846379134,3.66789500025578,1.00544634355242,3.15751640998831,NA,NA,0.862769381253401,0.3
"3","tslm_base",20,"Test",4.99118060311163,6.8444893327998,5.22362072263184,4.33163293422437,4.51406156759943,NA,NA,0.946393134092535,0.3
"4","snaive",20,"Test",-3.95642648490752,9.42293620605152,8.05331061343729,-3.35708855151149,6.85383543797919,NA,NA,0.932955509374641,0.3
"5","arima_full",20,"Test",-9.25616138498058,9.82374709328294,9.25616138498058,-8.05740271271775,8.05740271271775,NA,NA,0.944348107784302,0.3
"6","nn_base",20,"Test",-2.03789309004526,11.1551273387276,9.13786145821279,-2.38379777264073,8.12485275449933,NA,NA,0.693428210781467,0.3
"7","tslm_inter",20,"Test",1.51063209181718,12.1364802955321,9.68390303735196,1.26046558074223,8.52315862633802,NA,NA,0.816382784385404,0.3
"8","nn_vars",20,"Test",-7.67107834821814,13.9001214200021,10.7839313968477,-7.38187922282249,9.84028452422382,NA,NA,0.695774336926562,0.3
"9","naive",20,"Test",9.72353943524794,14.8767502309377,12.1720788704964,7.46049465086008,9.93910365287545,NA,NA,0.616226138545128,0.3
"10","drift",20,"Test",12.7369266005688,16.8420589426,13.9598959313989,10.0992801415847,11.3560802905215,NA,NA,0.597938999966601,0.3
"11","arima_plain",20,"Test",-27.5432989047934,29.8044909103958,27.5432989047934,-23.9907658915215,23.9907658915215,NA,NA,0.951548511752618,0.3
