"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",1.75300552436662,13.7067358882109,10.3892946409609,0.134109766949912,8.56838781611025,NA,NA,-0.0264822725536206,0.1
"2","arima_full",20,"Test",1.01126550944711,14.1847794305235,10.95210800806,-0.534724429905405,9.15649731555814,NA,NA,0.10024038991042,0.1
"3","tslm_vars",20,"Test",4.09032089187842,14.5749228723737,10.9972301962647,2.06950253952609,8.92069117879043,NA,NA,-0.00572411569770307,0.1
"4","tslm_base",20,"Test",6.0755996309962,15.2104345849776,10.5848708487084,3.93401750602689,8.54263056590202,NA,NA,-0.0162215673525227,0.1
"5","snaive",20,"Test",6.78125,19.3641098426961,15.53125,4.35498252655828,12.6838310799965,NA,NA,0.0998621723230003,0.1
"6","tslm_inter",20,"Test",3.11991517069814,19.5382818379985,16.1235175172391,1.05711986245909,13.6082611000536,NA,NA,0.277699073378532,0.1
"7","drift",20,"Test",-3.04732142857143,19.8534273566587,15.6232142857143,-5.46003007861478,14.1279340122634,NA,NA,0.328154693244453,0.1
"8","naive",20,"Test",-2.28125,19.88325300347,15.84375,-4.81916451829474,14.2213395337921,NA,NA,0.338742058883162,0.1
"9","arima_plain",20,"Test",-1.03035152665448,20.1295075630974,16.4962908866598,-3.77365648123091,14.5963652602789,NA,NA,0.373061555452959,0.1
"10","nn_vars",20,"Test",-5.80102044890054,20.7503645666549,15.6968246100596,-7.63894126404524,14.3858548066731,NA,NA,0.404778050478962,0.1
"11","nn_base",20,"Test",-4.062383880727,22.3862296986494,18.1697326172889,-6.61328335968147,16.3970003190467,NA,NA,0.448014105330282,0.1
