"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_base",20,"Test",-0.0942599897728966,1.84356639726402,1.51309810796997,-0.0689786123217696,1.39685036863991,NA,NA,0.888873221814757,0.1
"2","arima_sdif",20,"Test",-1.37554406407762,2.00531323533358,1.60299187193622,-1.19659991049617,1.40942792585114,NA,NA,0.721047969567238,0.1
"3","arima_full",20,"Test",-2.12167751466647,2.3665268572569,2.12167751466647,-1.8693682859686,1.8693682859686,NA,NA,0.845867807709239,0.1
"4","tslm_vars",20,"Test",-2.08918458944094,2.81064533881845,2.24192754160446,-1.81791503675749,1.95243787816283,NA,NA,0.678858252938232,0.1
"5","tslm_inter",20,"Test",-5.04103361575186,5.54997405883233,5.30482050130505,-4.49504446417327,4.74256377465845,NA,NA,0.500576764329588,0.1
"6","nn_base",20,"Test",-3.93296541517597,6.50643499102174,4.91223766011829,-3.83566851763165,4.64684156453525,NA,NA,0.267014997237781,0.1
"7","nn_vars",20,"Test",-3.04345561237931,7.50324153207879,5.44841841529897,-3.05441423041133,5.05511662104657,NA,NA,0.411917965351277,0.1
"8","arima_plain",20,"Test",6.29481985643477,7.57636722753653,6.29481985643477,5.69618641827488,5.69618641827488,NA,NA,0.88240320800971,0.1
"9","snaive",20,"Test",-6.16346153846164,7.63904839651777,6.67129629629638,-5.55756163950913,6.03876861342021,NA,NA,0.881611861141631,0.1
"10","naive",20,"Test",17.5303062678062,19.3714922179701,17.6649216524216,15.2590505168815,15.4052888471933,NA,NA,0.395182969782282,0.1
"11","drift",20,"Test",19.1353491862612,20.883969847018,19.2614722803027,16.701471867557,16.8384846669416,NA,NA,0.399175051300926,0.1
