"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",-2.43140335977931,3.15644286160085,2.83841489607884,-2.12199127283793,2.46187964499924,NA,NA,0.813556203029272,0.25
"2","tslm_base",20,"Test",-0.207017639851413,3.32295508885606,2.96237094667529,-0.131549635443085,2.55041480938446,NA,NA,0.926928136906355,0.25
"3","tslm_vars",20,"Test",-3.65803550080873,4.29431588172437,3.68875002031256,-3.19102649282536,3.21738899645606,NA,NA,0.443242616249553,0.25
"4","tslm_inter",20,"Test",-4.94022761305011,6.76115789302407,5.72318515953861,-4.41639029232803,5.06080896611977,NA,NA,0.645109846898297,0.25
"5","snaive",20,"Test",-8.96969696969708,10.0080647616981,9.06468531468542,-7.75454804827218,7.83166909290593,NA,NA,0.939871152333366,0.25
"6","arima_plain",20,"Test",-13.0606060606061,13.7098339327343,13.0606060606061,-11.3448153735597,11.3448153735597,NA,NA,0.929600070608064,0.25
"7","naive",20,"Test",-7.39603729603767,13.7824319223608,11.1217365967367,-7.47314703711882,10.2631464339111,NA,NA,0.620196901536928,0.25
"8","drift",20,"Test",-7.83886293045478,14.0589983504611,11.3486571954679,-7.86269485520082,10.4852350858057,NA,NA,0.621869622232122,0.25
"9","nn_vars",20,"Test",-12.3793924575165,16.2895423661239,13.1586320909807,-11.601423472168,12.1660134649923,NA,NA,0.585074554067616,0.25
"10","nn_base",20,"Test",-13.7316287451517,16.3604295740116,14.0447931895762,-12.6576569382069,12.8879501399805,NA,NA,0.522762309869404,0.25
"11","arima_full",20,"Test",-43.3625485499217,80.0252247456592,54.3472186081603,-39.2270172657562,48.3572686094653,NA,NA,0.972007049348748,0.25
