"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",-0.395888645372,14.8088684710694,11.5280224761136,-1.49157590088879,9.1444932249504,NA,NA,-0.215935488142608,0.05
"2","arima_full",20,"Test",-0.878076829283999,15.60873140362,11.815700778799,-1.74211245792604,9.29534630260447,NA,NA,-0.140411909155856,0.05
"3","tslm_vars",20,"Test",5.06243803623709,15.7797630683288,12.1648648810795,2.86339675278982,9.37707129674282,NA,NA,-0.244136928118342,0.05
"4","tslm_base",20,"Test",5.09666927899685,16.888056703718,11.1593652037617,2.81308061558815,8.73352026091376,NA,NA,-0.0966851313964261,0.05
"5","tslm_inter",20,"Test",9.53373660875662,17.1617356027832,13.1786108877258,6.84301251186473,9.86152135239248,NA,NA,0.292835649388992,0.05
"6","arima_plain",20,"Test",1.18352735308459,18.3670851087347,12.0771561184515,-1.44235993578695,10.2002443028385,NA,NA,-0.11662838920671,0.05
"7","snaive",20,"Test",11.75,19.5703857907809,15,8.06628428278218,11.4608586979141,NA,NA,0.123421153355448,0.05
"8","naive",20,"Test",-28.8125,34.7320097316582,30.9375,-26.0962320665174,27.3316971827964,NA,NA,-0.0663436575107742,0.05
"9","drift",20,"Test",-30.1334459459459,36.0000773576801,32.0641891891892,-27.2219685891666,28.3444937305871,NA,NA,-0.0440824816806965,0.05
