"","p",".model","lb_stat","lb_pvalue"
"1","0.05","naive",45.0342312958884,1.93619564825553e-11
"2","0.05","snaive",53.9237237497351,2.08388861722142e-13
"3","0.05","drift",45.0342312958884,1.93619564825553e-11
"4","0.05","tslm_base",63.5743291175519,1.55431223447522e-15
"5","0.05","tslm_inter",47.3690250339039,5.8804072722296e-12
"6","0.05","tslm_vars",42.1756998891338,8.3430262698414e-11
"7","0.05","arima_plain",0.153278716545422,0.695421585392563
"8","0.05","arima_full",0.0612113743262369,0.804591457810651
"9","0.05","arima_sdif",0.000643328446428241,0.979764689376072
"10","0.1","naive",44.4745619903909,2.57683874238523e-11
"11","0.1","snaive",53.4368964431344,2.6700863742235e-13
"12","0.1","drift",44.4745619903909,2.57683874238523e-11
"13","0.1","tslm_base",61.206727876396,5.10702591327572e-15
"14","0.1","tslm_inter",47.8605522860702,4.5763393075049e-12
"15","0.1","tslm_vars",40.7277266539265,1.74986580780967e-10
"16","0.1","arima_plain",0.151020323741473,0.69756220116823
"17","0.1","arima_full",0.0634602424315078,0.801108183897711
"18","0.1","arima_sdif",0.000546295394024437,0.981352771605112
"19","0.15","naive",43.500875601893,4.23769908053373e-11
"20","0.15","snaive",54.7722741782009,1.35336186701807e-13
"21","0.15","drift",43.500875601893,4.23769908053373e-11
"22","0.15","tslm_base",59.5525652780643,1.18793863634892e-14
"23","0.15","tslm_inter",54.2152181800668,1.79745107686813e-13
"24","0.15","tslm_vars",40.6571909540314,1.81418435829528e-10
"25","0.15","arima_plain",0.093259992578596,0.760072951802512
"26","0.15","arima_full",0.0638407369340455,0.800525361067373
"27","0.15","arima_sdif",0.750581632276748,0.386292145016392
"28","0.2","naive",39.1412935913547,3.94217325450086e-10
"29","0.2","snaive",50.2816137908704,1.3319345626428e-12
"30","0.2","drift",39.1412935913547,3.94217325450086e-10
"31","0.2","tslm_base",58.2040423426849,2.36477504245158e-14
"32","0.2","tslm_inter",50.3305834734957,1.2990719611139e-12
"33","0.2","tslm_vars",37.6221048283719,8.58658810720669e-10
"34","0.2","arima_plain",0.154413011345301,0.694353301429742
"35","0.2","arima_full",0.0772852278222262,0.781010663568701
"36","0.2","arima_sdif",0.629473783559067,0.427548399235811
"37","0.25","naive",36.7281238858014,1.35806033085828e-09
"38","0.25","snaive",47.3613653196392,5.90349991114181e-12
"39","0.25","drift",36.7281238858014,1.35806033085828e-09
"40","0.25","tslm_base",56.5226046450036,5.55111512312578e-14
"41","0.25","tslm_inter",44.3762374517361,2.70956590497917e-11
"42","0.25","tslm_vars",34.5196896009629,4.21961299235107e-09
"43","0.25","arima_plain",0.000207426961247081,0.988509004616442
"44","0.25","arima_full",0.0978479750406835,0.754427593444238
"45","0.25","arima_sdif",0.528190543567873,0.467368587461511
"46","0.3","naive",32.2726093577865,1.33988868888935e-08
"47","0.3","snaive",49.2243650986717,2.28295160553671e-12
"48","0.3","drift",32.2726093577864,1.33988868888935e-08
"49","0.3","tslm_base",59.3735096262674,1.29896093881143e-14
"50","0.3","tslm_inter",56.4369644316545,5.80646641878957e-14
"51","0.3","tslm_vars",40.8308896316939,1.65988556233287e-10
"52","0.3","arima_plain",0.000362010575400412,0.984819905058607
"53","0.3","arima_full",0.141021976599977,0.70726713571331
"54","0.3","arima_sdif",0.00190113235746979,0.965221676153337
