"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_full",20,"Test",0.866107239604449,14.4810746737806,11.2272238077002,-0.425592398272094,9.42480895070579,NA,NA,0.20786658080848,0.2
"2","tslm_vars",20,"Test",0.36044613030176,14.969504287857,11.5971863119065,-0.833391324010259,9.82872350974561,NA,NA,0.157220704019114,0.2
"3","arima_sdif",20,"Test",2.75474680489978,15.0718626268879,11.6008396930026,1.26610942372625,9.70571030254248,NA,NA,0.16422368499102,0.2
"4","tslm_base",20,"Test",2.88470111448839,16.0810457458886,12.0231678486998,1.24914953512239,10.0422951673598,NA,NA,0.152763116031339,0.2
"5","arima_plain",20,"Test",-2.49078928301193,17.8006652565515,14.9379918898644,-4.44867799372724,13.3568624992904,NA,NA,0.32193870104923,0.2
"6","naive",20,"Test",-4.3015873015873,18.1855515647529,15.031746031746,-6.0360022331046,13.6539012239346,NA,NA,0.319712539939241,0.2
"7","drift",20,"Test",-5.972270032511,18.4397790234689,14.9008095875566,-7.46179574804702,13.7341910182087,NA,NA,0.297574737309609,0.2
"8","snaive",20,"Test",-5.49206349206349,22.1043700340719,16.7619047619048,-5.68689807146192,14.6988141844381,NA,NA,0.195264074101699,0.2
"9","tslm_inter",20,"Test",1.7532671293841,22.3007603738585,18.1522598868259,0.648119448195305,15.8598141470242,NA,NA,0.174637855208705,0.2
