"","p",".model","lb_stat","lb_pvalue"
"1","0.05","naive",18.4765105734723,1.72011295314078e-05
"2","0.05","snaive",194.977179063278,0
"3","0.05","drift",18.4765105734723,1.72011295314078e-05
"4","0.05","tslm_base",234.782811538571,0
"5","0.05","tslm_inter",227.331193054709,0
"6","0.05","tslm_vars",212.869701189095,0
"7","0.05","tslm_vars_no_comp",68.6077845718038,1.11022302462516e-16
"8","0.05","arima_plain",0.141717068497756,0.706579945832171
"9","0.05","arima_full",53.2017720820156,3.0098146197588e-13
"10","0.05","arima_no_comp",53.2017720820156,3.0098146197588e-13
"11","0.05","arima_sdif",53.6272488486673,2.42361686275672e-13
"12","0.1","naive",17.5365265709138,2.81840827659474e-05
"13","0.1","snaive",181.802087018974,0
"14","0.1","drift",17.5365265709138,2.81840827659474e-05
"15","0.1","tslm_base",223.698204015996,0
"16","0.1","tslm_inter",215.47933996245,0
"17","0.1","tslm_vars",203.662932012307,0
"18","0.1","tslm_vars_no_comp",65.1385991768176,6.66133814775094e-16
"19","0.1","arima_plain",0.000211588144568734,0.988394324814645
"20","0.1","arima_full",3.53689769449203,0.0600176175277514
"21","0.1","arima_no_comp",3.53689769449203,0.0600176175277514
"22","0.1","arima_sdif",47.0656783557311,6.86473100586227e-12
"23","0.15","naive",13.6138696201116,0.00022452062975542
"24","0.15","snaive",168.837517409402,0
"25","0.15","drift",13.6138696201116,0.00022452062975542
"26","0.15","tslm_base",214.532244877957,0
"27","0.15","tslm_inter",202.478943541723,0
"28","0.15","tslm_vars",194.58719059638,0
"29","0.15","tslm_vars_no_comp",67.0978892527648,2.22044604925031e-16
"30","0.15","arima_plain",0.0727560086965161,0.787365503421493
"31","0.15","arima_full",7.6234184604584,0.00576151726170304
"32","0.15","arima_no_comp",7.6234184604584,0.00576151726170304
"33","0.15","arima_sdif",33.7178822202427,6.37123087621205e-09
"34","0.2","naive",12.6302995098502,0.000379544361120754
"35","0.2","snaive",156.456932282497,0
"36","0.2","drift",12.6302995098502,0.000379544361120754
"37","0.2","tslm_base",202.742546505947,0
"38","0.2","tslm_inter",191.103195188564,0
"39","0.2","tslm_vars",182.971744404821,0
"40","0.2","tslm_vars_no_comp",62.6369213695791,2.44249065417534e-15
"41","0.2","arima_plain",0.0533833038931776,0.817277300949823
"42","0.2","arima_full",5.86691350790255,0.015428078657013
"43","0.2","arima_no_comp",5.86691350790255,0.015428078657013
"44","0.2","arima_sdif",37.3141002593194,1.00554942150666e-09
"45","0.25","naive",12.7654254057658,0.000353085284158006
"46","0.25","snaive",143.877137729336,0
"47","0.25","drift",12.7654254057658,0.000353085284158006
"48","0.25","tslm_base",190.380255033306,0
"49","0.25","tslm_inter",178.428172355259,0
"50","0.25","tslm_vars",173.002786421018,0
"51","0.25","tslm_vars_no_comp",59.1595172604863,1.45439216225896e-14
"52","0.25","arima_plain",1.16487575210154,0.280456642667067
"53","0.25","arima_full",10.4325791454101,0.00123811725012524
"54","0.25","arima_no_comp",10.4325791454101,0.00123811725012524
"55","0.25","arima_sdif",44.7178446906523,2.27573515587665e-11
"56","0.3","naive",11.9957579493332,0.000533217853581736
"57","0.3","snaive",130.101357206684,0
"58","0.3","drift",11.9957579493332,0.000533217853581736
"59","0.3","tslm_base",177.117159747597,0
"60","0.3","tslm_inter",158.568137972903,0
"61","0.3","tslm_vars",159.281650210775,0
"62","0.3","tslm_vars_no_comp",54.4121075014367,1.62536650805123e-13
"63","0.3","arima_plain",8.22938379490541e-05,0.99276201358882
"64","0.3","arima_full",6.00404535330347,0.0142731145689551
"65","0.3","arima_no_comp",6.00404535330347,0.0142731145689551
"66","0.3","arima_sdif",8.49792764568615,0.00355551209994975
