"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_vars",20,"Test",-1.07526437890397,2.0755576805441,1.63419807565099,-0.991806021674187,1.45246587449768,NA,NA,0.2247970771556,0.05
"2","tslm_base",20,"Test",2.52693197372179,3.14246559115191,2.74551680508168,2.21618307889363,2.42528467428668,NA,NA,0.222672801921638,0.05
"3","snaive",20,"Test",-2.6839734918705,3.25881716264296,2.77086090158793,-2.33615390084361,2.41565581989856,NA,NA,0.730866379830601,0.05
"4","arima_sdif",20,"Test",2.61221315056805,3.28798415318421,2.8897199618174,2.2906129753418,2.5560802385717,NA,NA,0.20787554249294,0.05
"5","arima_full",20,"Test",2.54018184726454,3.3479806798832,2.97728126849697,2.22096397494744,2.63909997165163,NA,NA,0.211681718189346,0.05
"6","arima_no_comp",20,"Test",2.54018184726454,3.3479806798832,2.97728126849697,2.22096397494744,2.63909997165163,NA,NA,0.211681718189346,0.05
"7","tslm_inter",20,"Test",-3.96665003601406,4.34771338872281,4.20807586217601,-3.48681627687028,3.70772073876785,NA,NA,0.0579500544962282,0.05
"8","drift",20,"Test",-3.36280352268618,9.00169427546161,8.03073256206451,-3.53374628566392,7.28920429086148,NA,NA,0.562468914312067,0.05
"9","naive",20,"Test",-3.4294661531045,9.04554533225423,8.0707301403155,-3.59443865135113,7.32837826436188,NA,NA,0.563910130503146,0.05
"10","arima_plain",20,"Test",8.69815326631127,9.70985955406799,8.69815326631127,7.90289997608232,7.90289997608232,NA,NA,0.781492796108223,0.05
"11","tslm_vars_no_comp",20,"Test",-5.24789693449714,10.8489890819222,9.1557161122311,-5.2159446972665,8.3752030580234,NA,NA,0.254985998256188,0.05
