"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","tslm_vars",20,"Test",-1.43597293330935,2.73083665443803,2.21734169232118,-1.30720889067549,1.97291596286668,NA,NA,0.246316161910478,0.1
"2","tslm_base",20,"Test",0.515178936082758,2.79210192101093,2.35842778883692,0.386365016660653,2.13350413307318,NA,NA,0.462365510516135,0.1
"3","arima_sdif",20,"Test",1.273539069592,3.12875452334534,2.69292922530953,1.06548808969659,2.41670171602722,NA,NA,0.470025995251777,0.1
"4","arima_full",20,"Test",-0.58704674709732,3.25021774015847,2.550921073144,-0.641980469523727,2.34374618424739,NA,NA,0.502398206729142,0.1
"5","arima_no_comp",20,"Test",-0.58704674709732,3.25021774015847,2.550921073144,-0.641980469523727,2.34374618424739,NA,NA,0.502398206729142,0.1
"6","arima_plain",20,"Test",3.38561895171377,3.82023939304675,3.38561895171377,3.01894166758887,3.01894166758887,NA,NA,0.802145003640077,0.1
"7","tslm_inter",20,"Test",-4.72484828570826,4.97569881319873,4.85001547997057,-4.23262317638574,4.34715107149666,NA,NA,0.242488696725282,0.1
"8","snaive",20,"Test",-5.97612718533643,7.11559894963763,6.02117991630103,-5.44109511298088,5.48231833026863,NA,NA,0.869828739457989,0.1
"9","tslm_vars_no_comp",20,"Test",-6.11379189412525,10.5604619803496,8.59302287678844,-6.0597914108393,8.07148389930821,NA,NA,0.395998687996235,0.1
"10","naive",20,"Test",15.1755907145582,17.7739393085706,15.8369820778489,12.9347263228404,13.6875882423714,NA,NA,0.46398117359912,0.1
"11","drift",20,"Test",16.482066798661,18.9703077134217,17.1365455900782,14.0996106509202,14.8446039885216,NA,NA,0.467352142744971,0.1
