"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_full",20,"Test",-0.71091646215208,3.47229459122475,2.78407716093186,-0.668920252662596,2.37422296280111,NA,NA,0.311706346542548,0.15
"2","arima_no_comp",20,"Test",-0.71091646215208,3.47229459122475,2.78407716093186,-0.668920252662596,2.37422296280111,NA,NA,0.311706346542548,0.15
"3","tslm_vars",20,"Test",-2.21118155941991,3.57454359815814,2.96993701393112,-1.91095786385024,2.54552696002406,NA,NA,0.171464684125655,0.15
"4","tslm_base",20,"Test",-1.53500735715418,3.82672035463586,3.04983225024397,-1.3303111139103,2.63793058754043,NA,NA,0.4093779988394,0.15
"5","tslm_inter",20,"Test",-3.96167743656328,4.67491919254188,4.323553197783,-3.47718017586947,3.77048368626795,NA,NA,0.144312018006843,0.15
"6","arima_sdif",20,"Test",3.90964707338168,5.19561641019967,4.41208623900937,3.42364020582708,3.82575526455163,NA,NA,0.395149306421411,0.15
"7","snaive",20,"Test",-8.308226577035,9.55157339687191,8.3386371704361,-7.17379394048072,7.20161961214995,NA,NA,0.893121648116209,0.15
"8","tslm_vars_no_comp",20,"Test",-3.86301823556184,10.0852667921846,8.35475703950256,-4.05918845295901,7.54303006104066,NA,NA,0.211038959085973,0.15
"9","arima_plain",20,"Test",18.1770879310484,22.1645172385015,18.1770879310484,16.1978170309742,16.1978170309742,NA,NA,0.936062053707216,0.15
"10","naive",20,"Test",-24.411730869835,27.0919018868418,24.411730869835,-22.3954244235636,22.3954244235636,NA,NA,0.468048453676343,0.15
"11","drift",20,"Test",-26.4246975773797,29.1156350738291,26.4246975773797,-24.1871537281259,24.1871537281259,NA,NA,0.499992973472268,0.15
