"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_full",20,"Test",-0.357813520631552,3.74690054485701,3.04067147276081,-0.335004777276845,2.61071159497819,NA,NA,0.548278022358848,0.25
"2","tslm_vars",20,"Test",-2.33233480186925,3.79021908825601,3.07887970962505,-2.07302615111659,2.6742596716323,NA,NA,0.381628600922984,0.25
"3","tslm_base",20,"Test",1.0506689320015,4.62313279755877,3.72319383273208,0.897789481722678,3.18461644026058,NA,NA,0.660308594458101,0.25
"4","arima_sdif",20,"Test",-3.34456373157813,4.7506205745976,3.96010636790289,-2.91709983080438,3.42879229993133,NA,NA,0.434157894474858,0.25
"5","tslm_inter",20,"Test",-3.59241209528239,5.4927627154987,4.53011644552653,-3.24742089970205,4.01152845935012,NA,NA,0.62508331022632,0.25
"6","snaive",20,"Test",-7.54991860992982,8.95043854886033,7.9052079156707,-6.55455943536175,6.83885425036839,NA,NA,0.868148471442243,0.25
"7","nn_vars",20,"Test",-8.25794591708529,12.0301538629699,9.79072336844687,-7.74990054280024,8.92212975327745,NA,NA,0.565983757397291,0.25
"8","arima_plain",20,"Test",-10.7663175918815,12.8874596678085,10.8741132668092,-9.27877145601505,9.36966757819994,NA,NA,0.962297990216001,0.25
"9","naive",20,"Test",-6.6257180174087,13.4760848322686,10.8831424900647,-6.79956912677017,10.0039052628634,NA,NA,0.605038188360795,0.25
"10","nn_base",20,"Test",-10.2090570346501,13.548544364777,10.9160345378833,-9.48627636410601,10.0291011948429,NA,NA,0.516871544909824,0.25
"11","drift",20,"Test",-7.39259300826379,13.9363242180996,11.2601401432464,-7.47162535433588,10.374721790107,NA,NA,0.608976959807803,0.25
