"",".model","HighwayClass",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1","P"
"1","arima_sdif",20,"Test",-0.0588537961535755,3.32374966533698,2.64202363692648,-0.0298364658340948,2.27018241203567,NA,NA,0.418907839063194,0.2
"2","arima_full",20,"Test",-2.12785752901688,3.6942379114597,3.00631036213957,-1.86889590228839,2.61407421220518,NA,NA,0.280298910067666,0.2
"3","arima_no_comp",20,"Test",-2.12785752901688,3.6942379114597,3.00631036213957,-1.86889590228839,2.61407421220518,NA,NA,0.280298910067666,0.2
"4","tslm_base",20,"Test",-2.01939589776781,3.7717769950623,3.06436071356483,-1.74020054461942,2.63839252546756,NA,NA,0.374385435718979,0.2
"5","tslm_vars",20,"Test",-3.05662853352674,4.0267527348,3.30613315554017,-2.67572354137186,2.8769799315173,NA,NA,0.270685256186573,0.2
"6","tslm_inter",20,"Test",-2.89806464935718,4.30510173425433,3.85181426569715,-2.56853190217931,3.34880625148594,NA,NA,0.534137070749786,0.2
"7","snaive",20,"Test",-8.76853754124065,9.67400545341199,8.76853754124065,-7.52159128174351,7.52159128174351,NA,NA,0.909434512726507,0.2
"8","tslm_vars_no_comp",20,"Test",-4.02553136007634,10.5019594862327,8.81630149349431,-4.24280627899031,7.92710290648223,NA,NA,0.353969115495178,0.2
"9","arima_plain",20,"Test",7.08795203030604,13.6382739017882,10.0698419766823,6.45281995868535,8.85977977701101,NA,NA,0.953168204898707,0.2
"10","naive",20,"Test",13.6803972084151,18.3463453112421,15.0581124979156,10.7501652793433,12.2151728590994,NA,NA,0.596790029319229,0.2
"11","drift",20,"Test",15.7428532834536,19.8073389811676,16.7293109936066,12.5626936358731,13.6225159681375,NA,NA,0.582301006398827,0.2
