LDH Region,Parish,Cumulative Cases,DateTime,FID,x,y
4,Acadia,,"3/14/2020, 11:00 AM",1,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/18/2020, 11:00 AM",121,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/15/2020, 11:00 AM",216,-10287256.783187998,3540974.1934074564
4,Acadia,8,"3/27/2020, 11:00 AM",268,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/19/2020, 11:00 AM",331,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/20/2020, 11:00 AM",397,-10287256.783187998,3540974.1934074564
4,Acadia,2,"3/24/2020, 11:00 AM",509,-10287256.783187998,3540974.1934074564
4,Acadia,9,"3/28/2020, 11:00 AM",597,-10287256.783187998,3540974.1934074564
4,Acadia,1,"3/22/2020, 11:00 AM",602,-10287256.783187998,3540974.1934074564
4,Acadia,1,"3/23/2020, 11:00 AM",668,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/16/2020, 11:00 AM",703,-10287256.783187998,3540974.1934074564
4,Acadia,2,"3/25/2020, 11:00 AM",730,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/21/2020, 11:00 AM",770,-10287256.783187998,3540974.1934074564
4,Acadia,4,"3/26/2020, 11:00 AM",912,-10287256.783187998,3540974.1934074564
4,Acadia,,"3/17/2020, 11:00 AM",964,-10287256.783187998,3540974.1934074564
4,Acadia,9,"3/29/2020, 11:00 AM",991,-10287256.783187998,3540974.1934074564
4,Acadia,75,"4/5/2020, 11:00 AM",1105,-10287256.783187998,3540974.1934074564
4,Acadia,86,"4/8/2020, 11:00 AM",1225,-10287256.783187998,3540974.1934074564
4,Acadia,98,"4/11/2020, 11:00 AM",1348,-10287256.783187998,3540974.1934074564
4,Acadia,39,"3/31/2020, 11:00 AM",1418,-10287256.783187998,3540974.1934074564
4,Acadia,89,"4/9/2020, 11:00 AM",1439,-10287256.783187998,3540974.1934074564
4,Acadia,72,"4/3/2020, 11:00 AM",1454,-10287256.783187998,3540974.1934074564
4,Acadia,94,"4/10/2020, 11:00 AM",1531,-10287256.783187998,3540974.1934074564
4,Acadia,99,"4/12/2020, 11:00 AM",1561,-10287256.783187998,3540974.1934074564
4,Acadia,61,"4/2/2020, 11:00 AM",1583,-10287256.783187998,3540974.1934074564
4,Acadia,47,"4/1/2020, 11:00 AM",1654,-10287256.783187998,3540974.1934074564
4,Acadia,101,"4/13/2020, 11:00 AM",1788,-10287256.783187998,3540974.1934074564
4,Acadia,79,"4/6/2020, 11:00 AM",1814,-10287256.783187998,3540974.1934074564
4,Acadia,11,"3/30/2020, 11:00 AM",1828,-10287256.783187998,3540974.1934074564
4,Acadia,65,"4/4/2020, 11:00 AM",1894,-10287256.783187998,3540974.1934074564
4,Acadia,82,"4/7/2020, 11:00 AM",1968,-10287256.783187998,3540974.1934074564
4,Acadia,104,"4/14/2020, 11:00 AM",2115,-10287256.783187998,3540974.1934074564
4,Acadia,117,"4/23/2020, 11:00 AM",2236,-10287256.783187998,3540974.1934074564
4,Acadia,105,"4/15/2020, 11:00 AM",2298,-10287256.783187998,3540974.1934074564
4,Acadia,114,"4/21/2020, 11:00 AM",2300,-10287256.783187998,3540974.1934074564
4,Acadia,110,"4/18/2020, 11:00 AM",2318,-10287256.783187998,3540974.1934074564
4,Acadia,110,"4/17/2020, 11:00 AM",2334,-10287256.783187998,3540974.1934074564
4,Acadia,129,"4/24/2020, 11:00 AM",2337,-10287256.783187998,3540974.1934074564
4,Acadia,117,"4/22/2020, 11:00 AM",2401,-10287256.783187998,3540974.1934074564
