"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Date",1,804,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Cases",2,804,506465.508706468,389748.356105488,451074.5,476399.270186335,442860.7743,1,1250429,1250428,0.581833897307801,-0.753661695104895,13745.3647133551,165152,760061.5
"Deaths",3,804,9616.86194029851,5073.97833131894,10268.5,9724.84472049689,6684.3021,0,17313,17313,-0.137476876796066,-1.1333966619091,178.945418547867,5444,14557.5
"DailyCases",4,804,1555.25995024876,3611.33927866683,561,843.354037267081,831.7386,-879,60797,61676,8.2249535133037,104.27360953796,127.36211637928,126.75,1395.25
"Cases_ma",5,798,1563.69351951307,2308.19374671948,661.071428571428,1034.40892857143,496.8828,14.7142857142857,15428,15413.2857142857,3.38247580930932,12.9307138719603,81.7091729112357,422.535714285714,1904.75
"DailyDeaths",6,804,21.5335820895522,24.3036030743488,14,17.6428571428571,20.7564,0,223,223,2.11051890510459,8.26982422362965,0.857121993902972,2,33
"Deaths_ma",7,798,21.6852846401719,15.9003544432326,17.2142857142857,19.8772321428571,15.7791,0.285714285714286,66,65.7142857142857,0.844209919936989,-0.209389069528388,0.562866445851231,7.85714285714286,32.9642857142857
