Lab Collection Date,Parish,Daily Test Count,Daily Negative Test Count,Daily Positive Test Count,Daily Case Count
3/1/2020,Acadia,0,0,0,0
3/2/2020,Acadia,0,0,0,0
3/3/2020,Acadia,0,0,0,0
3/4/2020,Acadia,0,0,0,0
3/5/2020,Acadia,0,0,0,0
3/6/2020,Acadia,0,0,0,0
3/7/2020,Acadia,0,0,0,0
3/8/2020,Acadia,0,0,0,0
3/9/2020,Acadia,0,0,0,0
3/10/2020,Acadia,0,0,0,0
3/11/2020,Acadia,0,0,0,0
3/12/2020,Acadia,0,0,0,0
3/13/2020,Acadia,7,7,0,0
3/14/2020,Acadia,6,6,0,0
3/15/2020,Acadia,10,10,0,0
3/16/2020,Acadia,44,41,3,1
3/17/2020,Acadia,37,34,3,1
3/18/2020,Acadia,36,36,0,0
3/19/2020,Acadia,47,39,8,4
3/20/2020,Acadia,39,36,3,2
3/21/2020,Acadia,26,25,1,1
3/22/2020,Acadia,28,20,8,3
3/23/2020,Acadia,46,28,18,8
3/24/2020,Acadia,51,47,4,4
3/25/2020,Acadia,40,34,6,2
3/26/2020,Acadia,73,51,22,8
3/27/2020,Acadia,63,46,17,5
3/28/2020,Acadia,42,33,9,4
3/29/2020,Acadia,30,27,2,2
3/30/2020,Acadia,84,55,29,10
3/31/2020,Acadia,74,55,18,3
4/1/2020,Acadia,96,77,19,7
4/2/2020,Acadia,132,95,37,13
4/3/2020,Acadia,90,80,10,3
4/4/2020,Acadia,40,36,4,1
4/5/2020,Acadia,31,30,1,0
4/6/2020,Acadia,141,125,16,7
4/7/2020,Acadia,92,78,14,4
4/8/2020,Acadia,109,87,22,8
4/9/2020,Acadia,72,62,10,3
4/10/2020,Acadia,47,39,8,3
4/11/2020,Acadia,34,30,4,2
4/12/2020,Acadia,31,21,10,2
4/13/2020,Acadia,96,84,12,3
4/14/2020,Acadia,96,80,16,2
4/15/2020,Acadia,72,72,0,0
4/16/2020,Acadia,63,60,3,1
4/17/2020,Acadia,49,47,2,1
4/18/2020,Acadia,42,35,7,2
4/19/2020,Acadia,22,22,0,0
4/20/2020,Acadia,70,64,6,6
4/21/2020,Acadia,97,81,16,2
4/22/2020,Acadia,56,56,0,0
4/23/2020,Acadia,71,68,3,0
4/24/2020,Acadia,55,55,0,0
4/25/2020,Acadia,28,26,2,2
4/26/2020,Acadia,25,25,0,0
4/27/2020,Acadia,89,83,6,1
4/28/2020,Acadia,68,62,6,0
4/29/2020,Acadia,50,41,9,4
4/30/2020,Acadia,100,100,0,0
5/1/2020,Acadia,70,64,6,1
5/2/2020,Acadia,50,42,8,1
5/3/2020,Acadia,33,29,4,2
5/4/2020,Acadia,134,122,12,4
5/5/2020,Acadia,112,97,15,3
5/6/2020,Acadia,106,100,6,3
5/7/2020,Acadia,91,83,8,2
5/8/2020,Acadia,106,98,8,5
5/9/2020,Acadia,12,12,0,0
5/10/2020,Acadia,35,32,3,1
5/11/2020,Acadia,184,121,63,42
5/12/2020,Acadia,148,128,20,9
5/13/2020,Acadia,93,83,10,5
5/14/2020,Acadia,99,98,1,1
5/15/2020,Acadia,178,107,71,63
5/16/2020,Acadia,35,15,20,2
5/17/2020,Acadia,45,44,1,1
5/18/2020,Acadia,156,134,22,18
5/19/2020,Acadia,129,111,17,15
5/20/2020,Acadia,225,212,13,5
5/21/2020,Acadia,291,198,92,84
5/22/2020,Acadia,89,86,3,2
5/23/2020,Acadia,29,24,5,3
5/24/2020,Acadia,50,45,5,3
5/25/2020,Acadia,187,180,7,4
5/26/2020,Acadia,257,238,19,14
5/27/2020,Acadia,138,127,11,5
5/28/2020,Acadia,318,273,45,30
5/29/2020,Acadia,234,220,14,10
5/30/2020,Acadia,116,106,10,7
5/31/2020,Acadia,56,41,15,11
6/1/2020,Acadia,388,368,20,14
6/2/2020,Acadia,313,294,19,16
6/3/2020,Acadia,151,134,17,8
6/4/2020,Acadia,198,181,17,10
6/5/2020,Acadia,144,138,6,2
6/6/2020,Acadia,33,31,2,1
6/7/2020,Acadia,40,34,6,3
6/8/2020,Acadia,217,202,15,5
6/9/2020,Acadia,206,182,24,16
6/10/2020,Acadia,289,257,32,23
6/11/2020,Acadia,160,142,18,14
6/12/2020,Acadia,254,218,36,26
6/13/2020,Acadia,42,32,10,4
6/14/2020,Acadia,34,29,5,1
6/15/2020,Acadia,488,430,58,33
6/16/2020,Acadia,190,171,19,10
6/17/2020,Acadia,488,439,49,34
6/18/2020,Acadia,531,467,64,33
6/19/2020,Acadia,236,189,47,29
6/20/2020,Acadia,115,89,26,19
6/21/2020,Acadia,89,77,12,9
6/22/2020,Acadia,552,471,81,53
6/23/2020,Acadia,405,319,85,50
6/24/2020,Acadia,500,436,64,45
6/25/2020,Acadia,771,677,93,58
6/26/2020,Acadia,336,274,62,39
6/27/2020,Acadia,71,51,20,14
6/28/2020,Acadia,100,79,21,10
6/29/2020,Acadia,1000,862,138,81
6/30/2020,Acadia,408,351,57,36
7/1/2020,Acadia,500,405,94,77
7/2/2020,Acadia,339,251,88,56
7/3/2020,Acadia,151,114,37,20
7/4/2020,Acadia,99,67,32,22
7/5/2020,Acadia,142,91,51,31
7/6/2020,Acadia,715,574,140,98
7/7/2020,Acadia,550,428,122,87
7/8/2020,Acadia,466,337,129,85
7/9/2020,Acadia,344,272,71,45
7/10/2020,Acadia,319,238,81,52
7/11/2020,Acadia,140,102,38,30
7/12/2020,Acadia,144,110,34,27
7/13/2020,Acadia,776,590,185,138
7/14/2020,Acadia,543,437,106,79
7/15/2020,Acadia,457,378,79,60
7/16/2020,Acadia,269,215,54,35
7/17/2020,Acadia,266,197,69,46
7/18/2020,Acadia,161,126,35,15
7/19/2020,Acadia,91,73,18,9
7/20/2020,Acadia,580,487,91,59
7/21/2020,Acadia,325,277,48,30
7/22/2020,Acadia,511,453,58,46
7/23/2020,Acadia,250,208,42,29
7/24/2020,Acadia,215,161,54,28
7/25/2020,Acadia,65,48,17,10
7/26/2020,Acadia,45,31,14,7
7/27/2020,Acadia,637,547,88,64
7/28/2020,Acadia,190,154,35,21
7/29/2020,Acadia,317,262,55,41
7/30/2020,Acadia,199,146,52,35
7/31/2020,Acadia,174,143,29,19
8/1/2020,Acadia,59,45,14,7
8/2/2020,Acadia,72,61,11,7
8/3/2020,Acadia,591,533,58,41
8/4/2020,Acadia,202,181,21,15
8/5/2020,Acadia,301,276,24,21
8/6/2020,Acadia,194,154,40,19
8/7/2020,Acadia,151,125,26,17
8/8/2020,Acadia,60,51,9,6
8/9/2020,Acadia,53,47,6,5
8/10/2020,Acadia,549,501,48,39
8/11/2020,Acadia,163,137,26,16
8/12/2020,Acadia,261,246,15,10
8/13/2020,Acadia,172,148,24,13
8/14/2020,Acadia,143,129,14,7
8/15/2020,Acadia,25,23,2,1
8/16/2020,Acadia,169,168,1,1
8/17/2020,Acadia,444,415,29,23
8/18/2020,Acadia,129,118,11,8
8/19/2020,Acadia,257,246,10,8
8/20/2020,Acadia,128,118,10,8
8/21/2020,Acadia,133,113,18,7
8/22/2020,Acadia,37,29,8,4
8/23/2020,Acadia,130,126,4,3
8/24/2020,Acadia,238,225,13,8
8/25/2020,Acadia,198,191,7,5
8/26/2020,Acadia,119,112,7,5
8/27/2020,Acadia,28,26,2,0
8/28/2020,Acadia,61,59,2,2
8/29/2020,Acadia,22,22,0,0
8/30/2020,Acadia,140,135,5,3
8/31/2020,Acadia,313,299,14,9
9/1/2020,Acadia,134,124,10,7
9/2/2020,Acadia,206,196,9,7
9/3/2020,Acadia,94,85,9,6
9/4/2020,Acadia,81,76,5,4
9/5/2020,Acadia,20,20,0,0
9/6/2020,Acadia,132,130,2,2
9/7/2020,Acadia,235,231,4,3
9/8/2020,Acadia,216,203,13,10
9/9/2020,Acadia,222,214,8,8
9/10/2020,Acadia,125,117,8,5
9/11/2020,Acadia,97,89,8,4
9/12/2020,Acadia,82,75,7,2
9/13/2020,Acadia,133,133,0,0
9/14/2020,Acadia,331,316,15,9
9/15/2020,Acadia,176,168,8,6
9/16/2020,Acadia,186,183,3,3
9/17/2020,Acadia,125,122,3,3
9/18/2020,Acadia,134,115,13,10
9/19/2020,Acadia,77,61,0,0
9/20/2020,Acadia,190,170,5,3
9/21/2020,Acadia,321,310,11,7
9/22/2020,Acadia,165,158,7,5
9/23/2020,Acadia,174,163,9,6
9/24/2020,Acadia,138,126,11,9
9/25/2020,Acadia,108,97,11,10
9/26/2020,Acadia,25,22,3,3
9/27/2020,Acadia,138,138,0,0
9/28/2020,Acadia,430,377,15,13
9/29/2020,Acadia,170,165,5,5
9/30/2020,Acadia,163,155,8,6
10/1/2020,Acadia,119,116,3,3
10/2/2020,Acadia,103,97,6,5
10/3/2020,Acadia,26,25,1,1
10/4/2020,Acadia,154,153,1,1
10/5/2020,Acadia,346,327,19,14
10/6/2020,Acadia,214,207,7,7
10/7/2020,Acadia,165,156,9,5
10/8/2020,Acadia,123,110,13,13
10/9/2020,Acadia,10,10,0,0
10/10/2020,Acadia,23,19,4,2
10/11/2020,Acadia,38,32,6,4
10/12/2020,Acadia,324,303,21,18
10/13/2020,Acadia,185,176,9,8
10/14/2020,Acadia,270,253,17,10
10/15/2020,Acadia,135,121,14,11
10/16/2020,Acadia,72,67,5,5
10/17/2020,Acadia,39,31,8,5
10/18/2020,Acadia,162,160,2,2
10/19/2020,Acadia,327,309,18,17
10/20/2020,Acadia,215,196,19,14
10/21/2020,Acadia,144,136,8,6
10/22/2020,Acadia,145,140,5,4
10/23/2020,Acadia,112,96,16,14
10/24/2020,Acadia,34,27,7,4
10/25/2020,Acadia,178,169,9,6
10/26/2020,Acadia,348,329,18,13
10/27/2020,Acadia,209,189,20,15
10/28/2020,Acadia,163,147,16,12
10/29/2020,Acadia,121,116,5,5
10/30/2020,Acadia,178,163,15,12
10/31/2020,Acadia,56,47,9,8
11/1/2020,Acadia,194,180,13,10
11/2/2020,Acadia,374,343,31,26
11/3/2020,Acadia,234,201,31,23
11/4/2020,Acadia,394,356,37,26
11/5/2020,Acadia,135,116,19,19
11/6/2020,Acadia,134,108,26,24
11/7/2020,Acadia,50,41,9,9
11/8/2020,Acadia,203,188,15,11
11/9/2020,Acadia,447,388,58,50
11/10/2020,Acadia,261,221,40,32
11/11/2020,Acadia,427,395,32,28
11/12/2020,Acadia,232,199,33,29
11/13/2020,Acadia,167,140,27,24
11/14/2020,Acadia,73,52,21,14
11/15/2020,Acadia,178,172,6,6
11/16/2020,Acadia,498,442,56,52
11/17/2020,Acadia,281,230,51,47
11/18/2020,Acadia,577,522,54,45
11/19/2020,Acadia,379,325,54,44
11/20/2020,Acadia,237,188,49,41
11/21/2020,Acadia,89,62,27,20
11/22/2020,Acadia,132,100,32,27
11/23/2020,Acadia,844,783,60,52
11/24/2020,Acadia,241,197,41,33
11/25/2020,Acadia,587,533,54,43
11/26/2020,Acadia,59,52,7,4
11/27/2020,Acadia,173,131,42,31
11/28/2020,Acadia,61,44,17,12
11/29/2020,Acadia,144,108,36,23
11/30/2020,Acadia,780,690,90,75
12/1/2020,Acadia,259,204,55,47
12/2/2020,Acadia,566,510,56,45
12/3/2020,Acadia,444,388,56,47
12/4/2020,Acadia,186,154,32,24
12/5/2020,Acadia,81,63,18,12
12/6/2020,Acadia,143,116,27,20
12/7/2020,Acadia,971,903,68,55
12/8/2020,Acadia,315,264,50,40
12/9/2020,Acadia,642,595,47,42
12/10/2020,Acadia,375,337,38,32
12/11/2020,Acadia,252,203,49,38
12/12/2020,Acadia,82,68,14,13
12/13/2020,Acadia,123,88,35,26
12/14/2020,Acadia,930,867,63,49
12/15/2020,Acadia,323,283,40,33
12/16/2020,Acadia,747,702,45,39
12/17/2020,Acadia,417,371,46,36
12/18/2020,Acadia,204,158,45,37
12/19/2020,Acadia,77,61,16,12
12/20/2020,Acadia,150,125,25,23
12/21/2020,Acadia,913,839,73,57
12/22/2020,Acadia,272,231,41,31
12/23/2020,Acadia,606,556,50,40
12/24/2020,Acadia,124,110,14,13
12/25/2020,Acadia,29,26,3,2
12/26/2020,Acadia,101,73,27,24
12/27/2020,Acadia,160,130,30,26
12/28/2020,Acadia,960,883,77,69
12/29/2020,Acadia,253,200,53,44
12/30/2020,Acadia,634,572,62,51
12/31/2020,Acadia,193,153,40,33
1/1/2021,Acadia,71,50,21,20
1/2/2021,Acadia,109,89,20,17
1/3/2021,Acadia,150,113,36,27
1/4/2021,Acadia,1090,994,96,82
1/5/2021,Acadia,278,222,56,48
1/6/2021,Acadia,643,609,34,27
1/7/2021,Acadia,359,325,33,28
1/8/2021,Acadia,192,165,27,16
1/9/2021,Acadia,70,53,17,14
1/10/2021,Acadia,148,130,18,12
1/11/2021,Acadia,918,884,34,29
1/12/2021,Acadia,237,200,37,25
1/13/2021,Acadia,673,644,27,16
1/14/2021,Acadia,396,372,24,19
1/15/2021,Acadia,208,186,22,19
1/16/2021,Acadia,78,67,11,11
1/17/2021,Acadia,127,119,8,8
1/18/2021,Acadia,779,746,33,29
1/19/2021,Acadia,277,249,28,20
1/20/2021,Acadia,712,692,20,19
1/21/2021,Acadia,338,309,28,22
1/22/2021,Acadia,172,147,25,21
1/23/2021,Acadia,83,65,17,12
1/24/2021,Acadia,104,87,16,11
1/25/2021,Acadia,953,919,33,28
1/26/2021,Acadia,227,202,25,21
1/27/2021,Acadia,618,598,20,16
1/28/2021,Acadia,199,181,18,15
1/29/2021,Acadia,179,163,16,12
1/30/2021,Acadia,77,75,2,2
1/31/2021,Acadia,115,102,13,12
2/1/2021,Acadia,875,839,36,27
2/2/2021,Acadia,215,191,24,18
2/3/2021,Acadia,373,356,17,16
2/4/2021,Acadia,194,181,13,9
2/5/2021,Acadia,139,126,13,9
2/6/2021,Acadia,59,52,7,7
2/7/2021,Acadia,135,124,11,9
2/8/2021,Acadia,888,858,30,22
2/9/2021,Acadia,215,204,11,9
2/10/2021,Acadia,390,369,21,17
2/11/2021,Acadia,154,147,7,4
2/12/2021,Acadia,121,115,6,4
2/13/2021,Acadia,55,46,9,7
2/14/2021,Acadia,86,84,2,1
2/15/2021,Acadia,143,139,4,2
2/16/2021,Acadia,47,44,3,2
2/17/2021,Acadia,681,665,16,14
2/18/2021,Acadia,180,171,9,7
2/19/2021,Acadia,118,110,8,8
2/20/2021,Acadia,50,44,6,4
2/21/2021,Acadia,98,93,5,5
2/22/2021,Acadia,669,651,18,12
2/23/2021,Acadia,170,158,11,7
2/24/2021,Acadia,423,418,5,4
2/25/2021,Acadia,120,108,12,9
2/26/2021,Acadia,130,123,7,5
2/27/2021,Acadia,57,53,4,2
2/28/2021,Acadia,82,77,5,3
3/1/2021,Acadia,466,453,13,11
3/2/2021,Acadia,202,188,14,12
3/3/2021,Acadia,477,470,7,7
3/4/2021,Acadia,164,157,7,7
3/5/2021,Acadia,118,110,8,6
3/6/2021,Acadia,36,34,2,1
3/7/2021,Acadia,68,66,1,0
3/8/2021,Acadia,507,493,14,14
3/9/2021,Acadia,124,117,7,7
3/10/2021,Acadia,439,431,8,6
3/11/2021,Acadia,161,153,8,7
3/12/2021,Acadia,80,79,1,1
3/13/2021,Acadia,32,31,1,1
3/14/2021,Acadia,57,49,7,6
3/15/2021,Acadia,157,142,15,11
3/16/2021,Acadia,123,109,14,12
3/17/2021,Acadia,184,177,7,7
3/1/2020,Allen,0,0,0,0
3/2/2020,Allen,0,0,0,0
3/3/2020,Allen,0,0,0,0
3/4/2020,Allen,0,0,0,0
3/5/2020,Allen,0,0,0,0
3/6/2020,Allen,0,0,0,0
3/7/2020,Allen,0,0,0,0
3/8/2020,Allen,0,0,0,0
3/9/2020,Allen,0,0,0,0
3/10/2020,Allen,0,0,0,0
3/11/2020,Allen,1,1,0,0
3/12/2020,Allen,0,0,0,0
3/13/2020,Allen,0,0,0,0
3/14/2020,Allen,3,3,0,0
3/15/2020,Allen,2,2,0,0
3/16/2020,Allen,5,5,0,0
3/17/2020,Allen,2,2,0,0
3/18/2020,Allen,2,2,0,0
3/19/2020,Allen,12,9,3,1
3/20/2020,Allen,9,7,2,2
3/21/2020,Allen,1,1,0,0
3/22/2020,Allen,4,3,1,1
3/23/2020,Allen,23,20,3,3
3/24/2020,Allen,24,18,6,3
3/25/2020,Allen,30,24,6,3
3/26/2020,Allen,17,0,17,9
3/27/2020,Allen,16,12,4,4
3/28/2020,Allen,12,7,5,3
3/29/2020,Allen,12,2,10,2
3/30/2020,Allen,36,17,19,10
3/31/2020,Allen,23,12,11,6
4/1/2020,Allen,34,18,16,14
4/2/2020,Allen,34,30,4,4
4/3/2020,Allen,27,22,5,3
4/4/2020,Allen,4,3,1,0
4/5/2020,Allen,11,10,1,1
4/6/2020,Allen,34,29,5,2
4/7/2020,Allen,27,26,1,1
4/8/2020,Allen,26,24,2,0
4/9/2020,Allen,33,29,4,3
4/10/2020,Allen,11,9,2,2
4/11/2020,Allen,8,8,0,0
4/12/2020,Allen,6,5,1,1
4/13/2020,Allen,24,16,8,3
4/14/2020,Allen,19,11,7,5
4/15/2020,Allen,14,11,3,2
4/16/2020,Allen,24,23,1,0
4/17/2020,Allen,13,11,2,2
4/18/2020,Allen,5,5,0,0
4/19/2020,Allen,3,1,2,1
4/20/2020,Allen,14,8,6,0
4/21/2020,Allen,16,15,1,1
4/22/2020,Allen,16,13,3,2
4/23/2020,Allen,8,8,0,0
4/24/2020,Allen,9,8,1,0
4/25/2020,Allen,6,6,0,0
4/26/2020,Allen,7,7,0,0
4/27/2020,Allen,18,18,0,0
4/28/2020,Allen,25,21,4,2
4/29/2020,Allen,16,16,0,0
4/30/2020,Allen,13,12,1,1
5/1/2020,Allen,19,16,3,0
5/2/2020,Allen,15,15,0,0
5/3/2020,Allen,8,8,0,0
5/4/2020,Allen,13,13,0,0
5/5/2020,Allen,14,12,2,1
5/6/2020,Allen,17,17,0,0
5/7/2020,Allen,13,12,1,0
5/8/2020,Allen,22,18,4,0
5/9/2020,Allen,3,3,0,0
5/10/2020,Allen,5,5,0,0
5/11/2020,Allen,27,27,0,0
5/12/2020,Allen,25,24,1,0
5/13/2020,Allen,159,131,23,23
5/14/2020,Allen,496,432,56,52
5/15/2020,Allen,123,115,6,6
5/16/2020,Allen,11,11,0,0
5/17/2020,Allen,6,6,0,0
5/18/2020,Allen,32,32,0,0
5/19/2020,Allen,26,26,0,0
5/20/2020,Allen,122,121,1,1
5/21/2020,Allen,14,14,0,0
5/22/2020,Allen,18,18,0,0
5/23/2020,Allen,13,13,0,0
5/24/2020,Allen,7,7,0,0
5/25/2020,Allen,4,4,0,0
5/26/2020,Allen,22,22,0,0
5/27/2020,Allen,130,129,1,1
5/28/2020,Allen,10,9,1,1
5/29/2020,Allen,26,26,0,0
5/30/2020,Allen,16,16,0,0
5/31/2020,Allen,8,8,0,0
6/1/2020,Allen,50,47,3,3
6/2/2020,Allen,174,172,2,2
6/3/2020,Allen,85,84,1,1
6/4/2020,Allen,79,78,1,1
6/5/2020,Allen,31,29,2,1
6/6/2020,Allen,6,5,1,1
6/7/2020,Allen,7,6,1,1
6/8/2020,Allen,73,72,1,0
6/9/2020,Allen,315,298,16,15
6/10/2020,Allen,595,579,15,15
6/11/2020,Allen,59,56,3,3
6/12/2020,Allen,157,146,11,8
6/13/2020,Allen,11,11,0,0
6/14/2020,Allen,23,14,9,6
6/15/2020,Allen,121,111,10,10
6/16/2020,Allen,286,273,11,6
6/17/2020,Allen,392,365,27,23
6/18/2020,Allen,148,129,19,17
6/19/2020,Allen,171,158,13,11
6/20/2020,Allen,49,41,8,5
6/21/2020,Allen,26,15,11,9
6/22/2020,Allen,209,183,26,21
6/23/2020,Allen,253,235,18,11
6/24/2020,Allen,266,247,19,16
6/25/2020,Allen,188,169,19,14
6/26/2020,Allen,108,85,23,21
6/27/2020,Allen,16,13,3,3
6/28/2020,Allen,79,67,12,9
6/29/2020,Allen,168,140,28,20
6/30/2020,Allen,357,338,19,12
7/1/2020,Allen,114,85,29,18
7/2/2020,Allen,107,76,31,23
7/3/2020,Allen,78,53,25,15
7/4/2020,Allen,19,14,5,4
7/5/2020,Allen,26,14,12,8
7/6/2020,Allen,108,84,24,17
7/7/2020,Allen,897,864,33,25
7/8/2020,Allen,120,97,23,17
7/9/2020,Allen,83,60,23,18
7/10/2020,Allen,72,44,28,20
7/11/2020,Allen,19,8,11,10
7/12/2020,Allen,21,16,5,4
7/13/2020,Allen,140,109,31,23
7/14/2020,Allen,509,416,91,81
7/15/2020,Allen,256,234,21,17
7/16/2020,Allen,214,169,45,34
7/17/2020,Allen,109,84,25,18
7/18/2020,Allen,17,9,8,4
7/19/2020,Allen,10,5,5,3
7/20/2020,Allen,104,80,24,19
7/21/2020,Allen,593,490,101,90
7/22/2020,Allen,170,101,66,58
7/23/2020,Allen,175,122,53,37
7/24/2020,Allen,85,55,30,23
7/25/2020,Allen,25,15,10,9
7/26/2020,Allen,33,20,13,13
7/27/2020,Allen,218,189,28,24
7/28/2020,Allen,353,303,43,38
7/29/2020,Allen,212,190,17,12
7/30/2020,Allen,404,345,57,50
7/31/2020,Allen,126,84,41,36
8/1/2020,Allen,33,24,9,8
8/2/2020,Allen,18,12,6,5
8/3/2020,Allen,260,224,36,26
8/4/2020,Allen,320,279,40,36
8/5/2020,Allen,145,134,10,9
8/6/2020,Allen,142,126,14,12
8/7/2020,Allen,390,365,20,13
8/8/2020,Allen,21,17,4,4
8/9/2020,Allen,19,10,9,6
8/10/2020,Allen,224,202,20,14
8/11/2020,Allen,346,312,31,25
8/12/2020,Allen,120,112,8,8
8/13/2020,Allen,79,68,11,7
8/14/2020,Allen,195,178,14,12
8/15/2020,Allen,28,18,10,8
8/16/2020,Allen,21,19,2,1
8/17/2020,Allen,230,221,9,5
8/18/2020,Allen,172,157,15,13
8/19/2020,Allen,69,63,6,4
8/20/2020,Allen,68,62,6,5
8/21/2020,Allen,156,150,6,4
8/22/2020,Allen,11,10,1,1
8/23/2020,Allen,15,12,3,1
8/24/2020,Allen,180,170,10,6
8/25/2020,Allen,248,240,8,6
8/26/2020,Allen,27,26,1,0
8/27/2020,Allen,6,6,0,0
8/28/2020,Allen,19,17,2,2
8/29/2020,Allen,6,5,1,0
8/30/2020,Allen,6,5,1,1
8/31/2020,Allen,218,211,7,7
9/1/2020,Allen,25,23,2,2
9/2/2020,Allen,85,73,12,9
9/3/2020,Allen,43,36,7,6
9/4/2020,Allen,23,18,5,5
9/5/2020,Allen,9,8,1,0
9/6/2020,Allen,9,7,2,2
9/7/2020,Allen,38,22,16,13
9/8/2020,Allen,210,206,4,2
9/9/2020,Allen,109,108,1,1
9/10/2020,Allen,36,31,5,3
9/11/2020,Allen,46,43,3,3
9/12/2020,Allen,13,8,5,4
9/13/2020,Allen,10,5,5,2
9/14/2020,Allen,187,182,5,3
9/15/2020,Allen,129,127,2,2
9/16/2020,Allen,51,45,6,4
9/17/2020,Allen,55,47,8,4
9/18/2020,Allen,36,34,2,2
9/19/2020,Allen,5,4,1,1
9/20/2020,Allen,16,12,4,3
9/21/2020,Allen,170,142,28,22
9/22/2020,Allen,127,116,10,9
9/23/2020,Allen,73,64,9,9
9/24/2020,Allen,51,44,7,6
9/25/2020,Allen,58,45,13,11
9/26/2020,Allen,22,16,6,5
9/27/2020,Allen,27,22,5,4
9/28/2020,Allen,189,121,67,46
9/29/2020,Allen,144,117,27,24
9/30/2020,Allen,88,69,19,16
10/1/2020,Allen,80,67,13,11
10/2/2020,Allen,103,86,17,13
10/3/2020,Allen,12,6,6,6
10/4/2020,Allen,27,23,4,4
10/5/2020,Allen,248,170,77,26
10/6/2020,Allen,266,247,19,12
10/7/2020,Allen,190,174,16,11
10/8/2020,Allen,28,25,3,2
10/9/2020,Allen,65,64,1,1
10/10/2020,Allen,19,19,0,0
10/11/2020,Allen,20,12,8,7
10/12/2020,Allen,102,82,20,14
10/13/2020,Allen,134,123,11,10
10/14/2020,Allen,97,82,15,13
10/15/2020,Allen,92,80,12,9
10/16/2020,Allen,45,41,4,3
10/17/2020,Allen,18,14,4,2
10/18/2020,Allen,13,12,1,1
10/19/2020,Allen,291,279,12,10
10/20/2020,Allen,198,184,14,11
10/21/2020,Allen,106,99,7,6
10/22/2020,Allen,157,151,6,3
10/23/2020,Allen,28,24,4,4
10/24/2020,Allen,34,32,2,1
10/25/2020,Allen,15,14,1,1
10/26/2020,Allen,120,105,15,7
10/27/2020,Allen,149,140,9,7
10/28/2020,Allen,251,245,6,5
10/29/2020,Allen,156,144,12,11
10/30/2020,Allen,93,87,6,6
10/31/2020,Allen,20,15,5,5
11/1/2020,Allen,19,15,4,4
11/2/2020,Allen,162,149,13,12
11/3/2020,Allen,189,185,4,3
11/4/2020,Allen,124,113,11,9
11/5/2020,Allen,84,77,7,5
11/6/2020,Allen,51,44,7,6
11/7/2020,Allen,44,36,8,6
11/8/2020,Allen,20,15,5,4
11/9/2020,Allen,281,269,12,11
11/10/2020,Allen,319,309,9,8
11/11/2020,Allen,72,58,14,14
11/12/2020,Allen,83,71,12,10
11/13/2020,Allen,176,161,15,14
11/14/2020,Allen,14,12,2,2
11/15/2020,Allen,26,18,8,7
11/16/2020,Allen,161,147,14,13
11/17/2020,Allen,123,109,14,13
11/18/2020,Allen,113,98,15,11
11/19/2020,Allen,106,98,8,8
11/20/2020,Allen,237,223,14,14
11/21/2020,Allen,28,20,8,8
11/22/2020,Allen,33,30,2,2
11/23/2020,Allen,218,203,15,13
11/24/2020,Allen,170,161,9,7
11/25/2020,Allen,118,103,15,12
11/26/2020,Allen,9,8,1,1
11/27/2020,Allen,35,30,5,5
11/28/2020,Allen,21,19,2,2
11/29/2020,Allen,27,25,2,2
11/30/2020,Allen,141,120,20,18
12/1/2020,Allen,175,164,11,9
12/2/2020,Allen,89,75,14,8
12/3/2020,Allen,153,138,15,10
12/4/2020,Allen,226,212,13,11
12/5/2020,Allen,14,13,1,1
12/6/2020,Allen,34,28,6,5
12/7/2020,Allen,232,214,18,18
12/8/2020,Allen,175,157,18,13
12/9/2020,Allen,179,166,13,11
12/10/2020,Allen,221,200,20,15
12/11/2020,Allen,187,130,56,55
12/12/2020,Allen,35,32,3,3
12/13/2020,Allen,34,27,6,4
12/14/2020,Allen,150,131,19,15
12/15/2020,Allen,206,192,14,9
12/16/2020,Allen,141,133,8,8
12/17/2020,Allen,131,112,18,15
12/18/2020,Allen,99,91,8,8
12/19/2020,Allen,22,19,3,3
12/20/2020,Allen,29,26,3,2
12/21/2020,Allen,215,195,18,17
12/22/2020,Allen,141,130,11,8
12/23/2020,Allen,105,78,27,24
12/24/2020,Allen,57,49,8,7
12/25/2020,Allen,3,3,0,0
12/26/2020,Allen,32,22,10,9
12/27/2020,Allen,38,29,9,8
12/28/2020,Allen,201,180,21,18
12/29/2020,Allen,152,134,17,17
