"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Date",1,1110,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA
"Cases",2,1110,765301.50990991,537133.617767294,720609.5,761341.408783784,781740.1389,1,1580709,1580708,0.118828856004665,-1.50655636963181,16122.0715850786,264191,1282968
"Deaths",3,1110,11945.2117117117,5740.69461455427,13279.5,12399.6114864865,6515.2857,0,18835,18835,-0.465586509275306,-1.11865744580882,172.307013492527,6767,17373
"DailyCases",4,1110,1424.06216216216,3278.01385586368,494.5,789.641891891892,733.1457,-879,60797,61676,8.46550540428054,115.439007260545,98.3896227921625,0,1540
"Cases_ma",5,1104,1429.0652173913,2015.50063341573,717,999.796218487395,571.4364,14.7142857142857,15428,15413.2857142857,3.85823107925401,17.8342690850568,60.6594407871653,424.178571428571,1694.53571428571
"DailyDeaths",6,1110,16.9684684684685,22.5224844352597,9,12.7454954954955,13.3434,-21,223,244,2.36907336454612,9.91696263018973,0.676012623913603,0,25
"Deaths_ma",7,1104,17.0385610766046,15.5165823116471,10.9285714285714,14.5979314802844,10.2723,-0.714285714285714,66,66.7142857142857,1.20874052859748,0.553021535206024,0.466994249640797,5.57142857142857,25.4642857142857
