CrashDate,Crashes,Pedestrian,Bicycle,NonMotorist,Motorcycle,Fatal
6/16/2021,59,0,0,0,1,0
6/17/2021,70,0,0,0,0,0
6/18/2021,91,1,0,1,0,1
6/19/2021,53,1,0,1,0,0
6/20/2021,34,1,0,1,0,1
6/21/2021,44,0,0,0,1,0
6/22/2021,73,0,1,1,0,0
6/23/2021,60,1,0,1,0,0
6/24/2021,52,0,0,0,2,1
6/25/2021,59,0,0,0,0,0
6/26/2021,68,0,0,0,1,0
6/27/2021,38,1,0,1,0,0
6/28/2021,52,0,0,0,1,0
6/29/2021,72,0,0,0,0,1
6/30/2021,59,1,0,1,1,2
7/1/2021,68,1,0,1,1,0
7/2/2021,75,0,1,1,1,0
7/3/2021,53,0,0,0,0,1
7/4/2021,43,0,0,0,1,0
7/5/2021,32,1,0,1,0,1
7/6/2021,65,1,0,1,0,0
7/7/2021,67,0,0,0,1,0
7/8/2021,65,2,0,2,0,2
7/9/2021,72,0,0,0,0,0
7/10/2021,45,1,1,2,1,1
7/11/2021,46,0,0,0,0,0
7/12/2021,60,0,1,1,0,1
7/13/2021,67,1,0,1,2,0
7/14/2021,65,2,0,2,0,2
7/15/2021,64,1,1,2,0,0
7/16/2021,74,1,0,1,1,0
7/17/2021,37,0,1,1,0,0
7/18/2021,33,2,0,2,0,0
7/19/2021,77,0,0,0,0,0
7/20/2021,66,0,0,0,1,0
7/21/2021,48,0,0,0,2,1
7/22/2021,59,1,0,1,1,0
7/23/2021,75,0,0,0,0,0
7/24/2021,47,2,0,2,0,1
7/25/2021,41,0,0,0,1,1
7/26/2021,51,0,0,0,1,1
7/27/2021,60,0,0,0,0,0
7/28/2021,57,0,0,0,0,1
7/29/2021,61,0,0,0,0,1
7/30/2021,59,3,0,3,0,0
7/31/2021,48,1,0,1,2,0
8/1/2021,51,1,0,1,0,0
8/2/2021,62,0,0,0,0,0
8/3/2021,64,0,0,0,2,0
8/4/2021,53,0,1,1,1,0
8/5/2021,68,0,1,1,0,0
8/6/2021,70,0,0,0,0,1
8/7/2021,52,0,0,0,0,1
8/8/2021,43,0,1,1,0,0
8/9/2021,61,0,0,0,0,0
8/10/2021,60,0,0,0,0,0
8/11/2021,74,0,0,0,1,1
8/12/2021,83,1,0,1,1,0
8/13/2021,88,0,1,1,1,0
8/14/2021,52,1,0,1,1,0
8/15/2021,52,0,0,0,0,0
8/16/2021,68,1,0,1,0,0
8/17/2021,72,1,0,1,0,0
8/18/2021,84,1,0,1,0,1
8/19/2021,81,2,0,2,0,0
8/20/2021,79,1,0,1,0,1
8/21/2021,62,1,0,1,1,1
8/22/2021,43,0,0,0,0,1
